index,chinese_idiom,pinyin
536,公事公办,gong1 shi4 gong1 ban4
537,公听并观,gong1 ting1 bing4 guan1
538,公子王孙,gong1 zi3 wang2 sun1
539,公报私仇,gong1 bao4 si1 chou2
540,公私两便,gong1 si1 liang3 bian4
541,公而忘私,gong1 er2 wang4 si1
542,六亲不认,liu4 qin1 bu4 ren4
543,六尺之孤,liu4 chi3 zhi1 gu1
544,六月飞霜,liu4 yue4 fei1 shuang1
545,六根清净,liu4 gen1 qing1 jing4
546,六神无主,liu4 shen2 wu2 zhu3
547,六韬三略,liu4 tao1 san1 lve4
548,兰因絮果,lan2 yin1 xu4 guo3
549,兰桂齐芳,lan2 gui4 qi2 fang1
550,兰艾同焚,lan2 ai4 tong2 fen2
551,兰薰桂馥,lan2 xun1 gui4 fu4
552,关怀备至,guan1 huai2 bei4 zhi4
553,关门捉贼,guan1 men2 zhuo1 zei2
554,兴师动众,xing1 shi1 dong4 zhong4
555,兴致勃勃,xing4 zhi4 bo2 bo2
556,兴风作浪,xing1 feng1 zuo4 lang4
557,兴高采烈,xing4 gao1 cai3 lie4
558,兵不厌诈,bing1 bu4 yan4 zha4
559,兵临城下,bing1 lin2 cheng2 xia4
560,兵来将挡,bing1 lai2 jiang1 dang3
561,兵荒马乱,bing1 huang1 ma3 luan4
562,兵贵神速,bing1 gui4 shen2 su4
563,兵连祸结,bing1 lian2 huo4 jie2
564,其应若响,qi2 ying4 ruo4 xiang3
565,其貌不扬,qi2 mao4 bu4 yang2
566,具体而微,ju4 ti3 er2 wei1
567,兹事体大,zi1 shi4 ti3 da4
568,养尊处优,yang3 zun1 chu3 you1
569,养精蓄锐,yang3 jing1 xu4 rui4
