index,chinese_idiom,pinyin
1679,悬崖峭壁,xuan2 ya2 qiao4 bi4
1680,悬河注水,xuan2 he2 zhu4 shui3
1681,悲喜交加,bei1 xi3 jiao1 jia1
1682,悲天悯人,bei1 tian1 min3 ren2
1683,悲欢离合,bei1 huan1 li2 he2
1684,悲痛欲绝,bei1 tong4 yu4 jue2
1685,情不自禁,qing2 bu4 zi4 jin1
1686,情同手足,qing2 tong2 shou3 zu2
1687,情投意合,qing2 tou2 yi4 he2
1688,情有可原,qing2 you3 ke3 yuan2
1689,情深义重,qing2 shen1 yi4 zhong4
1690,情真意切,qing2 zhen1 yi4 qie4
1691,情窦初开,qing2 dou4 chu1 kai1
1692,情随事迁,qing2 sui2 shi4 qian1
1693,惊天动地,jing1 tian1 dong4 di4
1694,惊弓之鸟,jing1 gong1 zhi1 niao3
1695,惊心动魄,jing1 xin1 dong4 po4
1696,惊慌失措,jing1 huang1 shi1 cuo4
1697,惊涛骇浪,jing1 tao1 hai4 lang4
1698,惘然若失,wang3 ran2 ruo4 shi1
1699,惜字如金,xi1 zi4 ru2 jin1
1700,惜老怜贫,xi1 lao3 lian2 pin2
1701,惟利是图,wei2 li4 shi4 tu2
1702,惟命是听,wei2 ming4 shi4 ting1
1703,惟妙惟肖,wei2 miao4 wei2 xiao4
1704,惟我独尊,wei2 wo3 du2 zun1
1705,惨不忍睹,can3 bu4 ren3 du3
1706,惨淡经营,can3 dan4 jing1 ying2
1707,惨绝人寰,can3 jue2 ren2 huan2
1708,惨绿愁红,can3 lv4 chou2 hong2
1709,惩前毖后,cheng2 qian2 bi4 hou4
1710,惩恶劝善,cheng2 e4 quan4 shan4
1711,想入非非,xiang3 ru4 fei1 fei1
1712,想方设法,xiang3 fang1 she4 fa3
1713,惹事生非,re3 shi4 sheng1 fei1
1714,惹火烧身,re3 huo3 shao1 shen1
1715,愁眉苦脸,chou2 mei2 ku3 lian3
1716,愁肠九转,chou2 chang2 jiu3 zhuan3
1717,意味深长,yi4 wei4 shen1 chang2
1718,意在笔前,yi4 zai4 bi3 qian2
1719,意惹情牵,yi4 re3 qing2 qian1
1720,意气风发,yi4 qi4 feng1 fa1
1721,愚公移山,yu2 gong1 yi2 shan1
1722,感同身受,gan3 tong2 shen1 shou4
1723,感恩戴德,gan3 en1 dai4 de2
1724,感激涕零,gan3 ji1 ti4 ling2
1725,愤世嫉俗,fen4 shi4 ji2 su2
1726,慈乌反哺,ci2 wu1 fan3 bu3
1727,慈眉善目,ci2 mei2 shan4 mu4
1728,慌不择路,huang1 bu4 ze2 lu4
1729,慢条斯理,man4 tiao2 si1 li3
1730,慷慨解囊,kang1 kai3 jie3 nang2
1731,戎马生涯,rong2 ma3 sheng1 ya2
1732,成人之美,cheng2 ren2 zhi1 mei3
1733,成仁取义,cheng2 ren2 qu3 yi4
1734,成何体统,cheng2 he2 ti3 tong3
1735,成佛作祖,cheng2 fo2 zuo4 zu3
1736,成千上万,cheng2 qian1 shang4 wan4
1737,成名成家,cheng2 ming2 cheng2 jia1
1738,成精作怪,cheng2 jing1 zuo4 guai4
1739,成群结队,cheng2 qun2 jie2 dui4
1740,成败利钝,cheng2 bai4 li4 dun4
1741,我行我素,wo3 xing2 wo3 su4
1742,战天斗地,zhan4 tian1 dou4 di4
1743,战战兢兢,zhan4 zhan4 jing1 jing1
1744,战无不胜,zhan4 wu2 bu4 sheng4
1745,戮力同心,lu4 li4 tong2 xin1
1746,戴天履地,dai4 tian1 lv3 di4
1747,戴罪立功,dai4 zui4 li4 gong1
1748,所向披靡,suo3 xiang4 pi1 mi3
1749,手不释卷,shou3 bu4 shi4 juan4
1750,手到擒来,shou3 dao4 qin2 lai2
1751,手忙脚乱,shou3 mang2 jiao3 luan4
1752,手无寸铁,shou3 wu2 cun4 tie3
1753,手舞足蹈,shou3 wu3 zu2 dao3
1754,手足胼胝,shou3 zu2 pian2 zhi1
1755,才兼文武,cai2 jian1 wen2 wu3
1756,才华横溢,cai2 hua2 heng2 yi4
1757,才子佳人,cai2 zi jia1 ren2
1758,才思敏捷,cai2 si1 min3 jie2
1759,才气过人,cai2 qi4 guo4 ren2
1760,才疏学浅,cai2 shu1 xue2 qian3
1761,才貌双全,cai2 mao4 shuang1 quan2
1762,才贯二酉,cai2 guan4 er4 you3
1763,才高八斗,cai2 gao1 ba1 dou3
1764,扑朔迷离,pu1 shuo4 mi2 li2
1765,打凤牢龙,da3 feng4 lao2 long2
1766,打家劫舍,da3 jia1 jie2 she4
1767,打恭作揖,da3 gong1 zuo4 yi1
1768,打情骂俏,da3 qing2 ma4 qiao4
1769,打草惊蛇,da3 cao3 jing1 she2
1770,打落水狗,da3 luo4 shui3 gou3
1771,打退堂鼓,da3 tui4 tang2 gu3
1772,执迷不悟,zhi2 mi2 bu4 wu4
1773,扩而充之,kuo4 er2 chong1 zhi1
1774,扪心自问,men2 xin1 zi4 wen4
1775,扫地以尽,sao3 di4 yi3 jin4
1776,扫眉才子,sao3 mei2 cai2 zi3
1777,扬汤止沸,yang2 tang1 zhi3 fei4
1778,扬眉吐气,yang2 mei2 tu3 qi4
1779,扬长而去,yang2 chang2 er2 qu4
1780,扭曲作直,niu3 qu1 zuo4 zhi2
1781,扯篷拉纤,che3 peng2 la1 qian4
1782,扶危济困,fu2 wei1 ji4 kun4
1783,扶墙摸壁,fu2 qiang2 mo1 bi4
1784,扶正黜邪,fu2 zheng4 chu4 xie2
1785,扶老携幼,fu2 lao3 xie2 you4
1786,承上启下,cheng2 shang4 qi3 xia4
1787,承前启后,cheng2 qian2 qi3 hou4
1788,承欢膝下,cheng2 huan1 xi1 xia4
1789,承颜顺旨,cheng2 yan2 shun4 zhi3
1790,抑扬顿挫,yi4 yang2 dun4 cuo4
1791,抓耳挠腮,zhua1 er3 nao2 sai1
1792,投其所好,tou2 qi2 suo3 hao4
1793,投桃报李,tou2 tao2 bao4 li3
1794,投石问路,tou2 shi2 wen4 lu4
1795,投笔从戎,tou2 bi3 cong2 rong2
1796,投鼠忌器,tou2 shu3 ji4 qi4
1797,抗尘走俗,kang4 chen2 zou3 su2
1798,抚今追昔,fu3 jin1 zhui1 xi1
1799,抚背扼喉,fu3 bei4 e4 hou2
1800,抛头露面,pao1 tou2 lu4 mian4
1801,抛砖引玉,pao1 zhuan1 yin3 yu4
1802,报仇雪恨,bao4 chou2 xue3 hen4
1803,披发缨冠,pi1 fa1 ying1 guan4
1804,披坚执锐,pi1 jian1 zhi2 rui4
1805,披星戴月,pi1 xing1 dai4 yue4
1806,披枷带锁,pi1 jia1 dai4 suo3
1807,披榛采兰,pi1 zhen1 cai3 lan2
1808,披红戴花,pi1 hong2 dai4 hua1
1809,披肝沥胆,pi1 gan1 li4 dan3
1810,披荆斩棘,pi1 jing1 zhan3 ji2
1811,抱布贸丝,bao4 bu4 mao4 si1
1812,抱恨终天,bao4 hen4 zhong1 tian1
1813,抱朴含真,bao4 pu3 han2 zhen1
1814,抱薪救火,bao4 xin1 jiu4 huo3
1815,抵足而卧,di3 zu2 er2 wo4
1816,抽丝剥茧,chou1 si1 bo1 jian3
1817,担惊受怕,dan1 jing1 shou4 pa4
1818,担雪填河,dan1 xue3 tian2 he2
1819,拆东补西,chai1 dong1 bu3 xi1
1820,拆白道字,chai1 bai2 dao4 zi4
1821,拈花惹草,nian1 hua1 re3 cao3
1822,拈轻怕重,nian1 qing1 pa4 zhong4
1823,拍手称快,pai1 shou3 cheng1 kuai4
1824,拍案叫绝,pai1 an4 jiao4 jue2
1825,拐弯抹角,guai3 wan1 mo4 jiao3
1826,拒谏饰非,ju4 jian4 shi4 fei1
1827,拔刀相助,ba2 dao1 xiang1 zhu4
1828,拔十得五,ba2 shi2 de2 wu3
1829,拔地而起,ba2 di4 er2 qi3
1830,拔来报往,ba2 lai2 bao4 wang3
1831,拔树撼山,ba2 shu4 han4 shan1
1832,拔苗助长,ba2 miao2 zhu4 zhang3
1833,拔茅连茹,ba2 mao2 lian2 ru2
1834,拔葵去织,ba2 kui2 qu4 zhi1
1835,拖人下水,tuo1 ren2 xia4 shui3
1836,拖泥带水,tuo1 ni2 dai4 shui3
1837,招兵买马,zhao1 bing1 mai3 ma3
1838,招摇撞骗,zhao1 yao2 zhuang4 pian4
1839,招权纳贿,zhao1 quan2 na4 hui4
1840,招蜂引蝶,zhao1 feng1 yin3 die2
1841,拜将封侯,bai4 jiang4 feng1 hou2
1842,拣佛烧香,jian3 fo2 shao1 xiang1
1843,拨乱反正,bo1 luan4 fan3 zheng4
1844,拨云见日,bo1 yun2 jian4 ri4
1845,拨草寻蛇,bo1 cao3 xun2 she2
1846,拨雨撩云,bo1 yu3 liao2 yun2
1847,择善而从,ze2 shan4 er2 cong2
1848,择肥而噬,ze2 fei2 er2 shi4
1849,拱肩缩背,gong3 jian1 suo1 bei4
1850,拳拳之忠,quan2 quan2 zhi1 zhong1
1851,拾人牙慧,shi2 ren2 ya2 hui4
1852,拾金不昧,shi2 jin1 bu4 mei4
1853,拿手好戏,na2 shou3 hao3 xi4
1854,拿粗挟细,na2 cu1 xie2 xi4
1855,拿糖作醋,na2 tang2 zuo4 cu4
1856,持之以恒,chi2 zhi1 yi3 heng2
1857,持刀动杖,chi2 dao1 dong4 zhang4
1858,持危扶颠,chi2 wei1 fu2 dian1
1859,持满戒盈,chi2 man3 jie4 ying2
1860,持禄养交,chi2 lu4 yang3 jiao1
1861,挂一漏万,gua4 yi1 lou4 wan4
1862,挂印悬牌,gua4 yin4 xuan2 pai2
1863,指东画西,zhi3 dong1 hua4 xi1
1864,指天誓日,zhi3 tian1 shi4 ri4
1865,指山卖岭,zhi3 shan1 mai4 ling3
1866,指手画脚,zhi3 shou3 hua4 jiao3
1867,指日可待,zhi3 ri4 ke3 dai4
1868,指桑骂槐,zhi3 sang1 ma4 huai2
1869,指猪骂狗,zhi3 zhu1 ma4 gou3
1870,指腹为婚,zhi3 fu4 wei2 hun1
1871,指鹿为马,zhi3 lu4 wei2 ma3
1872,按兵不动,an4 bing1 bu4 dong4
1873,按图索骥,an4 tu2 suo3 ji4
1874,按甲休兵,an4 jia3 xiu1 bing1
1875,按部就班,an4 bu4 jiu4 ban1
1876,挑肥拣瘦,tiao1 fei2 jian3 shou4
1877,挖空心思,wa1 kong1 xin1 si1
1878,挟山超海,xie2 shan1 chao1 hai3
1879,挠直为曲,nao2 zhi2 wei2 qu1
1880,挤眉弄眼,ji3 mei2 nong4 yan3
1881,挥剑成河,hui1 jian4 cheng2 he2
1882,挥毫立马,hui1 hao2 li4 ma3
1883,挥汗如雨,hui1 han4 ru2 yu3
1884,挥洒自如,hui1 sa3 zi4 ru2
1885,挥金如土,hui1 jin1 ru2 tu3
1886,振振有词,zhen4 zhen4 you3 ci2
1887,振聋发聩,zhen4 long2 fa1 kui4
1888,振臂一呼,zhen4 bi4 yi1 hu1
1889,捉襟见肘,zhuo1 jin1 jian4 zhou3
1890,捐躯赴难,juan1 qu1 fu4 nan4
1891,捕风捉影,bu3 feng1 zhuo1 ying3
1892,损人利己,sun3 ren2 li4 ji3
1893,损兵折将,sun3 bing1 zhe2 jiang4
1894,据理力争,ju4 li3 li4 zheng1
1895,捶床拍枕,chui2 chuang2 pai1 zhen3
1896,捶胸顿足,chui2 xiong1 dun4 zu2
1897,捷足先登,jie2 zu2 xian1 deng1
1898,掂斤抹两,dian1 jin1 mo4 liang3
1899,掉以轻心,diao4 yi3 qing1 xin1
1900,掌上明珠,zhang3 shang4 ming2 zhu1
1901,掎角之势,ji3 jiao3 zhi1 shi4
1902,排山倒海,pai2 shan1 dao3 hai3
1903,探囊取物,tan4 nang2 qu3 wu4
1904,探头探脑,tan4 tou2 tan4 nao3
1905,探幽索隐,tan4 you1 suo3 yin3
1906,探骊得珠,tan4 li2 de2 zhu1
1907,接二连三,jie1 er4 lian2 san1
1908,接踵而来,jie1 zhong3 er2 lai2
1909,推三阻四,tui1 san1 zu3 si4
1910,推己及人,tui1 ji3 ji2 ren2
1911,推心置腹,tui1 xin1 zhi4 fu4
1912,推波助澜,tui1 bo1 zhu4 lan2
1913,推襟送抱,tui1 jin1 song4 bao4
1914,推陈出新,tui1 chen2 chu1 xin1
1915,掩人耳目,yan3 ren2 er3 mu4
1916,掩耳盗铃,yan3 er3 dao4 ling2
1917,掷地有声,zhi4 di4 you3 sheng1
1918,提纲挈领,ti2 gang1 qie4 ling3
1919,插科打诨,cha1 ke1 da3 hun4
1920,插翅难飞,cha1 chi4 nan2 fei1
1921,握手言欢,wo4 shou3 yan2 huan1
1922,握拳透掌,wo4 quan2 tou4 zhang3
1923,握雨携云,wo4 yu3 xie2 yun2
1924,揭竿四起,jie1 gan1 si4 qi3
1925,搜肠刮肚,sou1 chang2 gua1 du4
1926,搬口弄舌,ban1 kou3 nong4 she2
1927,搬弄是非,ban1 nong4 shi4 fei1
1928,摇头摆尾,yao2 tou2 bai3 wei3
1929,摇手触禁,yao2 shou3 chu4 jin4
1930,摇摇欲坠,yao2 yao2 yu4 zhui4
1931,摧心剖肝,cui1 xin1 pou1 gan1
1932,摧枯拉朽,cui1 ku1 la1 xiu3
1933,摧眉折腰,cui1 mei2 zhe2 yao1
1934,摩拳擦掌,mo2 quan2 ca1 zhang3
1935,摩肩接踵,mo2 jian1 jie1 zhong3
1936,摩顶放踵,mo2 ding3 fang4 zhong3
1937,撑天拄地,cheng1 tian1 zhu3 di4
1938,撑肠拄腹,cheng1 chang2 zhu3 fu4
1939,撒豆成兵,sa3 dou4 cheng2 bing1
1940,撺拳拢袖,cuan1 quan2 long3 xiu4
1941,擂天倒地,lei2 tian1 dao3 di4
1942,操之过急,cao1 zhi1 guo4 ji2
1943,操刀必割,cao1 dao1 bi4 ge1
1944,操斧伐柯,cao1 fu3 fa2 ke1
1945,擒贼擒王,qin2 zei2 qin2 wang2
1946,攀龙附凤,pan1 long2 fu4 feng4
1947,支离破碎,zhi1 li2 po4 sui4
1948,改名换姓,gai3 ming2 huan4 xing4
1949,改天换地,gai3 tian1 huan4 di4
1950,改头换面,gai3 tou2 huan4 mian4
1951,改弦易辙,gai3 xian2 yi4 zhe2
1952,改朝换代,gai3 chao2 huan4 dai4
1953,改过自新,gai3 guo4 zi4 xin1
1954,改邪归正,gai3 xie2 gui1 zheng4
1955,攻其不备,gong1 qi2 bu4 bei4
1956,攻城略地,gong1 cheng2 lve4 di4
1957,攻守同盟,gong1 shou3 tong2 meng2
1958,攻无不克,gong1 wu2 bu4 ke4
1959,攻苦食淡,gong1 ku3 shi2 dan4
1960,放心托胆,fang4 xin1 tuo1 dan3
1961,放情丘壑,fang4 qing2 qiu1 he4
1962,放荡不羁,fang4 dang4 bu4 ji1
1963,放虎归山,fang4 hu3 gui1 shan1
1964,放言高论,fang4 yan2 gao1 lun4
1965,政出多门,zheng4 chu1 duo1 men2
1966,政通人和,zheng4 tong1 ren2 he2
1967,故作高深,gu4 zuo4 gao1 shen1
1968,故弄玄虚,gu4 nong4 xuan2 xu1
1969,故态复萌,gu4 tai4 fu4 meng2
1970,故步自封,gu4 bu4 zi4 feng1
1971,救亡图存,jiu4 wang2 tu2 cun2
1972,救死扶伤,jiu4 si3 fu2 shang1
1973,救火扬沸,jiu4 huo3 yang2 fei4
1974,教学相长,jiao4 xue2 xiang1 zhang3
1975,教无常师,jiao4 wu2 chang2 shi1
1976,敝帚自珍,bi4 zhou3 zi4 zhen1
1977,敢作敢为,gan3 zuo4 gan3 wei2
1978,敬业乐群,jing4 ye4 le4 qun2
1979,敬老爱幼,jing4 lao3 ai4 you4
1980,敬而远之,jing4 er2 yuan3 zhi1
1981,敬贤礼士,jing4 xian2 li3 shi4
1982,数一数二,shu3 yi1 shu3 er4
1983,数典忘祖,shu3 dian3 wang4 zu3
1984,数白论黄,shu3 bai2 lun4 huang2
1985,敲山震虎,qiao1 shan1 zhen4 hu3
1986,敷衍了事,fu1 yan3 liao3 shi4
1987,文不加点,wen2 bu4 jia1 dian3
1988,文人墨客,wen2 ren2 mo4 ke4
1989,文从字顺,wen2 cong2 zi4 shun4
1990,文以载道,wen2 yi3 zai4 dao4
1991,文思泉涌,wen2 si1 quan2 yong3
1992,文恬武嬉,wen2 tian2 wu3 xi1
1993,文深网密,wen2 shen1 wang3 mi4
1994,文质彬彬,wen2 zhi4 bin1 bin1
1995,文采风流,wen2 cai3 feng1 liu2
1996,文韬武略,wen2 tao1 wu3 lve4
1997,斑衣戏彩,ban1 yi1 xi4 cai3
1998,斗升之禄,dou4 sheng1 zhi1 lu4
1999,斗志昂扬,dou4 zhi4 ang2 yang2
2000,斗方名士,dou3 fang1 ming2 shi4
2001,斗酒百篇,dou3 jiu3 bai3 pian1
2002,料事如神,liao4 shi4 ru2 shen2
2003,斤斤计较,jin1 jin1 ji4 jiao4
2004,斩将夺旗,zhan3 jiang1 duo2 qi2
2005,斩草除根,zhan3 cao3 chu2 gen1
2006,斩钉截铁,zhan3 ding1 jie2 tie3
2007,断发文身,duan4 fa4 wen2 shen1
2008,断壁残垣,duan4 bi4 can2 yuan2
2009,断头将军,duan4 tou2 jiang1 jun1
2010,断简残编,duan4 jian3 can2 bian1
2011,断纸余墨,duan4 zhi3 yu2 mo4
2012,断袖分桃,duan4 xiu4 fen1 tao2
2013,斯文扫地,si1 wen2 sao3 di4
2014,新婚燕尔,xin1 hun1 yan4 er3
2015,新愁旧恨,xin1 chou2 jiu4 hen4
2016,新陈代谢,xin1 chen2 dai4 xie4
2017,方兴未艾,fang1 xing1 wei4 ai4
2018,方凿圆枘,fang1 zao2 yuan2 rui4
2019,方寸已乱,fang1 cun4 yi3 luan4
2020,方趾圆颅,fang1 zhi3 yuan2 lu2
2021,旁征博引,pang2 zheng1 bo2 yin3
2022,旁敲侧击,pang2 qiao1 ce4 ji1
2023,旁若无人,pang2 ruo4 wu2 ren2
2024,旁见侧出,pang2 jian4 ce4 chu1
2025,旁观者清,pang2 guan1 zhe3 qing1
2026,旁门左道,pang2 men2 zuo3 dao4
2027,旅进旅退,lv3 jin4 lv3 tui4
2028,旋乾转坤,xuan2 qian2 zhuan3 kun1
2029,旗帜鲜明,qi2 zhi4 xian1 ming2
2030,旗开得胜,qi2 kai1 de2 sheng4
2031,旗鼓相当,qi2 gu3 xiang1 dang1
2032,无与伦比,wu2 yu3 lun2 bi3
2033,无中生有,wu2 zhong1 sheng1 you3
2034,无人问津,wu2 ren2 wen4 jin1
2035,无以复加,wu2 yi3 fu4 jia1
2036,无价之宝,wu2 jia4 zhi1 bao3
2037,无伤大雅,wu2 shang1 da4 ya3
2038,无关痛痒,wu2 guan1 tong4 yang3
2039,无出其右,wu2 chu1 qi2 you4
2040,无功受禄,wu2 gong1 shou4 lu4
2041,无动于衷,wu2 dong4 yu2 zhong1
2042,无可奈何,wu2 ke3 nai4 he2
2043,无名小卒,wu2 ming2 xiao3 zu2
2044,无地自容,wu2 di4 zi4 rong2
2045,无坚不摧,wu2 jian1 bu4 cui1
2046,无声无臭,wu2 sheng1 wu2 xiu4
2047,无妄之灾,wu2 wang4 zhi1 zai1
2048,无影无踪,wu2 ying3 wu2 zong1
2049,无往不利,wu2 wang3 bu4 li4
2050,无微不至,wu2 wei1 bu4 zhi4
2051,无忧无虑,wu2 you1 wu2 lv4
2052,无恶不作,wu2 e4 bu4 zuo4
2053,无懈可击,wu2 xie4 ke3 ji1
2054,无所作为,wu2 suo3 zuo4 wei2
2055,无拘无束,wu2 ju1 wu2 shu4
2056,无机可乘,wu2 ji1 ke3 cheng2
2057,无欲则刚,wu2 yu4 ze2 gang1
2058,无法无天,wu2 fa3 wu2 tian1
2059,无济于事,wu2 ji4 yu2 shi4
2060,无独有偶,wu2 du2 you3 ou3
2061,无理取闹,wu2 li3 qu3 nao4
2062,无病呻吟,wu2 bing4 shen1 yin2
2063,无的放矢,wu2 di4 fang4 shi3
2064,无稽之谈,wu2 ji1 zhi1 tan2
2065,无穷无尽,wu2 qiong2 wu2 jin4
2066,无精打彩,wu2 jing1 da3 cai3
2067,无能为力,wu2 neng2 wei2 li4
2068,无言以对,wu2 yan2 yi3 dui4
2069,无计可施,wu2 ji4 ke3 shi1
2070,无足轻重,wu2 zu2 qing1 zhong4
2071,无边无际,wu2 bian1 wu2 ji4
2072,既往不咎,ji4 wang3 bu4 jiu4
2073,既成事实,ji4 cheng2 shi4 shi2
2074,日上三竿,ri4 shang4 san1 gan1
2075,日中则昃,ri4 zhong1 ze2 ze4
2076,日坐愁城,ri4 zuo4 chou2 cheng2
2077,日就月将,ri4 jiu4 yue4 jiang1
2078,日居月诸,ri4 ju1 yue4 zhu1
2079,日新月异,ri4 xin1 yue4 yi4
2080,日暮途远,ri4 mu4 tu2 yuan3
2081,日月入怀,ri4 yue4 ru4 huai2
2082,日渐月染,ri4 jian4 yue4 ran3
2083,日理万机,ri4 li3 wan4 ji1
2084,日积月累,ri4 ji1 yue4 lei3
2085,日薄西山,ri4 bo2 xi1 shan1
2086,日角珠庭,ri4 jiao3 zhu1 ting2
2087,日转千阶,ri4 zhuan3 qian1 jie1
2088,日食万钱,ri4 shi2 wan4 qian2
2089,日高三丈,ri4 gao1 san1 zhang4
2090,旧病复发,jiu4 bing4 fu4 fa1
2091,旧雨新知,jiu4 yu3 xin1 zhi1
2092,早出晚归,zao3 chu1 wan3 gui1
2093,旭日东升,xu4 ri4 dong1 sheng1
2094,旱魃为虐,han4 ba2 wei4 nve4
2095,时不再来,shi2 bu4 zai4 lai2
2096,时和岁丰,shi2 he2 sui4 feng1
2097,时来运转,shi2 lai2 yun4 zhuan3
2098,旷世奇才,kuang4 shi4 qi2 cai2
2099,旷夫怨女,kuang4 fu1 yuan4 nv3
2100,旷日弥久,kuang4 ri4 mi2 jiu3
2101,昂头挺胸,ang2 tou2 ting3 xiong1
2102,昂首阔步,ang2 shou3 kuo4 bu4
2103,明争暗斗,ming2 zheng1 an4 dou4
2104,明修栈道,ming2 xiu1 zhan4 dao4
2105,明哲保身,ming2 zhe2 bao3 shen1
2106,明媒正娶,ming2 mei2 zheng4 qu3
2107,明察秋毫,ming2 cha2 qiu1 hao2
2108,明心见性,ming2 xin1 jian4 xing4
2109,明日黄花,ming2 ri4 huang2 hua1
2110,明火执仗,ming2 huo3 zhi2 zhang4
2111,明眸皓齿,ming2 mou2 hao4 chi3
2112,明知故问,ming2 zhi1 gu4 wen4
2113,明镜高悬,ming2 jing4 gao1 xuan2
2114,昏天黑地,hun1 tian1 hei1 di4
2115,昏头搭脑,hun1 tou2 da1 nao3
2116,昏镜重明,hun1 jing4 chong2 ming2
2117,易如反掌,yi4 ru2 fan3 zhang3
2118,昙花一现,tan2 hua1 yi1 xian4
2119,星火燎原,xing1 huo3 liao2 yuan2
2120,星离雨散,xing1 li2 yu3 san4
2121,星移斗转,xing1 yi2 dou3 zhuan3
2122,星罗棋布,xing1 luo2 qi2 bu4
2123,映雪读书,ying4 xue3 du2 shu1
2124,春事阑珊,chun1 shi4 lan2 shan1
2125,春光明媚,chun1 guang1 ming2 mei4
2126,春兰秋菊,chun1 lan2 qiu1 ju2
2127,春冰虎尾,chun1 bing1 hu3 wei3
2128,春华秋实,chun1 hua2 qiu1 shi2
2129,春去秋来,chun1 qu4 qiu1 lai2
2130,春山如笑,chun1 shan1 ru2 xiao4
2131,春意盎然,chun1 yi4 ang4 ran2
2132,春暖花开,chun1 nuan3 hua1 kai1
2133,春树暮云,chun1 shu4 mu4 yun2
2134,春深似海,chun1 shen1 si4 hai3
2135,春色满园,chun1 se4 man3 yuan2
2136,春蚓秋蛇,chun1 yin3 qiu1 she2
2137,春诵夏弦,chun1 song4 xia4 xian2
2138,春雨如油,chun1 yu3 ru2 you2
2139,春露秋霜,chun1 lu4 qiu1 shuang1
2140,春韭秋菘,chun1 jiu3 qiu1 song1
2141,春风化雨,chun1 feng1 hua4 yu3
2142,昧地瞒天,mei4 di4 man2 tian1
2143,昧旦晨兴,mei4 dan4 chen2 xing1
2144,是古非今,shi4 gu3 fei1 jin1
2145,是非曲直,shi4 fei1 qu1 zhi2
2146,昼思夜想,zhou4 si1 ye4 xiang3
2147,昼耕夜诵,zhou4 geng1 ye4 song4
2148,显而易见,xian3 er2 yi4 jian4
2149,晓风残月,xiao3 feng1 can2 yue4
2150,晚节不保,wan3 jie2 bu4 bao3
2151,晨钟暮鼓,chen2 zhong1 mu4 gu3
2152,普天同庆,pu3 tian1 tong2 qing4
2153,景星庆云,jing3 xing1 qing4 yun2
2154,晴耕雨读,qing2 geng1 yu3 du2
2155,暗中摸索,an4 zhong1 mo1 suo3
2156,暗度陈仓,an4 du4 chen2 cang1
2157,暗箭伤人,an4 jian4 shang1 ren2
2158,暗送秋波,an4 song4 qiu1 bo1
2159,暗香疏影,an4 xiang1 shu1 ying3
2160,暮去朝来,mu4 qu4 zhao1 lai2
2161,暮气沉沉,mu4 qi4 chen2 chen2
2162,暴殄天物,bao4 tian3 tian1 wu4
2163,暴虐无道,bao4 nve4 wu2 dao4
2164,暴躁如雷,bao4 zao4 ru2 lei2
2165,暴露无遗,bao4 lu4 wu2 yi2
2166,暴风骤雨,bao4 feng1 zhou4 yu3
2167,曲尽其妙,qu1 jin4 qi2 miao4
2168,曲径通幽,qu1 jing4 tong1 you1
2169,曲突徙薪,qu1 tu1 xi3 xin1
2170,曲高和寡,qu3 gao1 he4 gua3
2171,曾几何时,ceng2 ji3 he2 shi2
2172,月地云阶,yue4 di4 yun2 jie1
2173,月明星稀,yue4 ming2 xing1 xi1
2174,月晕知风,yue4 yun4 zhi1 feng1
2175,月白风清,yue4 bai2 feng1 qing1
2176,月落星沉,yue4 luo4 xing1 chen2
2177,月黑风高,yue4 hei1 feng1 gao1
2178,有勇无谋,you3 yong3 wu2 mou2
2179,有口难言,you3 kou3 nan2 yan2
2180,有名无实,you3 ming2 wu2 shi2
2181,有增无减,you3 zeng1 wu2 jian3
2182,有声有色,you3 sheng1 you3 se4
2183,有备无患,you3 bei4 wu2 huan4
2184,有头无尾,you3 tou2 wu2 wei3
2185,有始有终,you3 shi3 you3 zhong1
2186,有容乃大,you3 rong2 nai3 da4
2187,有心无力,you3 xin1 wu2 li4
2188,有恃无恐,you3 shi4 wu2 kong3
2189,有教无类,you3 jiao4 wu2 lei4
2190,有朝一日,you3 zhao1 yi1 ri4
2191,有条不紊,you3 tiao2 bu4 wen3
2192,有求必应,you3 qiu2 bi4 ying4
2193,有目共睹,you3 mu4 gong4 du3
2194,有眼无珠,you3 yan3 wu2 zhu1
2195,有福同享,you3 fu2 tong2 xiang3
2196,有约在先,you3 yue1 zai4 xian1
2197,朋党比周,peng2 dang3 bi3 zhou1
2198,朋比为奸,peng2 bi3 wei2 jian1
2199,朗目疏眉,lang3 mu4 shu1 mei2
2200,望子成龙,wang4 zi cheng2 long2
2201,望文生义,wang4 wen2 sheng1 yi4
2202,望梅止渴,wang4 mei2 zhi3 ke3
2203,望洋兴叹,wang4 yang2 xing1 tan4
2204,望眼欲穿,wang4 yan3 yu4 chuan1
2205,望穿秋水,wang4 chuan1 qiu1 shui3
2206,望而生畏,wang4 er2 sheng1 wei4
2207,望风而降,wang4 feng1 er2 jiang4
2208,朝三暮四,zhao1 san1 mu4 si4
2209,朝不保夕,zhao1 bu4 bao3 xi1
2210,朝云暮雨,zhao1 yun2 mu4 yu3
2211,朝令夕改,zhao1 ling4 xi1 gai3
2212,朝发夕至,zhao1 fa1 xi1 zhi4
2213,朝夕相处,zhao1 xi1 xiang1 chu3
2214,朝思暮想,zhao1 si1 mu4 xiang3
2215,朝朝暮暮,zhao1 zhao1 mu4 mu4
2216,朝欢暮乐,zhao1 huan1 mu4 le4
2217,朝气蓬勃,zhao1 qi4 peng2 bo2
2218,朝秦暮楚,zhao1 qin2 mu4 chu3
2219,朝经暮史,zhao1 jing1 mu4 shi3
